titre;categorie;lieux_extraits;date;url
Port de Radès : démantèlement d’un réseau international de trafic de drogues;1;Tunis, Tunisie, Bizerte, Radès, Port;01/07/2024;https://letemps.news/2024/07/01/port-de-rades-demantelement-dun-reseau-international-de-trafic-de-drogues/
Patricide à Bizerte : le principal suspect arrêté;2;Bizerte, Patricide, République;02/06/2024;https://letemps.news/2024/06/02/patricide-a-bizerte-le-principal-suspect-arrete/
Ouverture d’une enquête contre un réseau de trafic de drogue à Jendouba;1;stupéfiants|enquête|Jendouba, Tabraka, procureur de la République, Jendouba;15/05/2024;https://letemps.news/2024/05/15/ouverture-dune-enquete-contre-un-reseau-de-trafic-de-drogue-a-jendouba/
Démantèlement d’un réseau de trafic de drogues;1;Maghreb, Sahel, Europe;13/05/2024;https://letemps.news/2024/05/13/demantelement-dun-reseau-de-trafic-de-drogues/
Démantèlement d’un réseau criminel spécialisé dans la traite des personnes et le blanchiment d’argent;1;Sfax, Nabeul;01/05/2024;https://letemps.news/2024/05/01/demantelement-dun-reseau-criminel-specialise-dans-la-traite-des-personnes-et-le-blanchiment-dargent-2/
Monastir : trois trafiquants de drogue arrêtés;1;Monastir;15/04/2024;https://letemps.news/2024/04/15/monastir-trois-trafiquants-de-drogue-arretes/
Vol de voitures : deux spécialistes de brouillage arrêtés;3;La Marsa, Mosaïque FM, Marsa Est, Bhar Lazreg;12/04/2024;https://letemps.news/2024/04/12/vol-de-voitures-deux-specialistes-de-brouillage-arretes/
Démantèlement d’un réseau de trafic de personnes de nationalités subsahariennes;1;Tozeur, Sidi Bouzid, Sfax, Kasserine, Gafsa, Jebiniana;04/04/2024;https://letemps.news/2024/04/04/demantelement-dun-reseau-de-trafic-de-personnes-de-nationalites-subsahariennes/
Douane : saisie de 4652 grammes d’or;1;Nabeul;11/07/2023;https://letemps.news/2023/07/11/douane-saisie-de-4652-grammes-dor/
Triple homicide à Sfax : le fils et son ami devant le juge;2;procureur de la République, Cité Habib, Triple, Ksibi, Sfax, République;12/06/2023;https://letemps.news/2023/06/12/triple-homicide-a-sfax-le-fils-et-son-ami-devant-le-juge/
Triple homicide à Sfax : le fils placé en détention;2;Mosaïque FM, El Habib, Triple, Sfax, CHU Habib Bourguiba;09/06/2023;https://letemps.news/2023/06/09/triple-homicide-a-sfax-le-fils-place-en-detention/
Triple meurtre à Sfax;2;Triple, République du Tribunal, Mosaïque FM, Sfax;08/06/2023;https://letemps.news/2023/06/08/triple-meurtre-a-sfax/
Ariana : deux voitures administratives du gouverneur volées devant son domicile;3;Ariana, Mosaïque FM;17/04/2023;https://letemps.news/2023/04/17/ariana-deux-voitures-administratives-du-gouverneur-volees-devant-son-domicile/
Tunis | Le dealer Sar’oufa sous les verrous;1;Tunis, Jebel Lahmar, El Omrane, cannabis|hachich|Jebel;22/03/2026;https://kapitalis.com/tunisie/2026/03/22/tunis-le-dealer-saroufa-sous-les-verrous/
Le meurtrier présumé de l’ambassadeur Ben Haha mis en détention;2;Tunis, Stockholm, Tunisie, Gouvernorat de Bizerte, Suède, Athènes, Grèce, département des Affaires étrangères, indiqueDiwan FM, El Menzah 1;21/03/2026;https://kapitalis.com/tunisie/2026/03/21/le-meurtrier-presume-de-lambassadeur-ben-haha-mis-en-detention/
Sidi Hassine | La peine de mort pour l’individu ayant tué sa tante;2;Tunis, mort|Sidi Hassine|Tunis|Tunisie|vol, Sidi Hassine;14/03/2026;https://kapitalis.com/tunisie/2026/03/14/sidi-hassine-la-peine-de-mort-pour-lindividu-ayant-tue-sa-tante/
Lutte contre le trafic de drogue | Un bilan de 10 jours impressionnant;1;;11/03/2026;https://kapitalis.com/tunisie/2026/03/11/lutte-contre-le-trafic-de-drogue-un-bilan-de-10-jours-impressionnant/
